Countries and areas,OOSR,Age_group,Gender,High_OOSR,Region
Gabon,0,Primary,Female,0,Africa
The Gambia,10,Primary,Female,0,Africa
Georgia,2,Primary,Female,0,Asia
Germany,0,Primary,Female,0,Europe
Ghana,0,Primary,Female,0,Africa
Greece,1,Primary,Female,0,Europe
Grenada,0,Primary,Female,0,Americas
Guatemala,10,Primary,Female,0,Americas
Guinea,29,Primary,Female,0,Africa
Guinea0Bissau,0,Primary,Female,0,Africa
Guyana,0,Primary,Female,0,Americas
Haiti,0,Primary,Female,0,Americas
Vatican City,0,Primary,Female,0,Europe
Honduras,14,Primary,Female,0,Americas
Hungary,5,Primary,Female,0,Europe
Iceland,1,Primary,Female,0,Europe
India,1,Primary,Female,0,Asia
Indonesia,8,Primary,Female,0,Asia
Iran,0,Primary,Female,0,Asia
Iraq,0,Primary,Female,0,Asia
Republic of Ireland,0,Primary,Female,0,Europe
Israel,0,Primary,Female,0,Asia
Italy,3,Primary,Female,0,Europe
Jamaica,0,Primary,Female,0,Americas
Japan,0,Primary,Female,0,Asia
Jordan,19,Primary,Female,0,Asia
Kazakhstan,9,Primary,Female,0,Asia
Kenya,0,Primary,Female,0,Africa
Kiribati,0,Primary,Female,0,Oceania
Kuwait,1,Primary,Female,0,Asia
Kyrgyzstan,0,Primary,Female,0,Asia
Laos,9,Primary,Female,0,Asia
Latvia,1,Primary,Female,0,Europe
Lebanon,0,Primary,Female,0,Asia
Lesotho,2,Primary,Female,0,Africa
Liberia,21,Primary,Female,0,Africa
Libya,0,Primary,Female,0,Africa
Liechtenstein,2,Primary,Female,0,Europe
Lithuania,0,Primary,Female,0,Europe
Luxembourg,1,Primary,Female,0,Europe
Madagascar,0,Primary,Female,0,Africa
Malawi,0,Primary,Female,0,Africa
Malaysia,0,Primary,Female,0,Asia
Maldives,1,Primary,Female,0,Asia
Mali,44,Primary,Female,0,Africa
Malta,0,Primary,Female,0,Europe
Marshall Islands,27,Primary,Female,0,Oceania
Mauritania,21,Primary,Female,0,Africa
Mauritius,1,Primary,Female,0,Africa
Mexico,0,Primary,Female,0,Americas
Federated States of Micronesia,11,Primary,Female,0,Oceania
Monaco,0,Primary,Female,0,Europe
Mongolia,3,Primary,Female,0,Asia
Montenegro,3,Primary,Female,0,Europe
Montserrat,15,Primary,Female,0,Americas
Morocco,3,Primary,Female,0,Africa
Mozambique,4,Primary,Female,0,Africa
Myanmar,0,Primary,Female,0,Asia
Namibia,0,Primary,Female,0,Africa
Nauru,0,Primary,Female,0,Oceania
Nepal,0,Primary,Female,0,Asia
Netherlands,1,Primary,Female,0,Europe
New Zealand,1,Primary,Female,0,Oceania
Nicaragua,0,Primary,Female,0,Americas
Niger,45,Primary,Female,0,Africa
Nigeria,0,Primary,Female,0,Africa
Niue,0,Primary,Female,0,Oceania
North Macedonia,1,Primary,Female,0,Europe
Norway,0,Primary,Female,0,Europe
Oman,0,Primary,Female,0,Asia
Pakistan,0,Primary,Female,0,Asia
Palau,0,Primary,Female,0,Oceania
Panama,14,Primary,Female,0,Americas
Papua New Guinea,10,Primary,Female,0,Oceania
Paraguay,0,Primary,Female,0,Americas
Peru,0,Primary,Female,0,Americas
Philippines,3,Primary,Female,0,Asia
Poland,2,Primary,Female,0,Europe
Portugal,1,Primary,Female,0,Europe
Qatar,0,Primary,Female,0,Asia
South Korea,1,Primary,Female,0,Asia
Moldova,11,Primary,Female,0,Europe
Romania,13,Primary,Female,0,Europe
Russia,0,Primary,Female,0,Europe
Rwanda,6,Primary,Female,0,Africa
Saint Kitts and Nevis,0,Primary,Female,0,Americas
Saint Lucia,0,Primary,Female,0,Americas
Saint Vincent and the Grenadines,0,Primary,Female,0,Americas
Samoa,0,Primary,Female,0,Oceania
San Marino,0,Primary,Female,0,Europe
Saudi Arabia,3,Primary,Female,0,Asia
Senegal,21,Primary,Female,0,Africa
Serbia,2,Primary,Female,0,Europe
Seychelles,0,Primary,Female,0,Africa
Sierra Leone,2,Primary,Female,0,Africa
Singapore,0,Primary,Female,0,Asia
Slovakia,4,Primary,Female,0,Europe
Slovenia,0,Primary,Female,0,Europe
Solomon Islands,4,Primary,Female,0,Oceania
Somalia,0,Primary,Female,0,Africa
South Africa,10,Primary,Female,0,Africa
South Sudan,67,Primary,Female,1,Africa
Spain,3,Primary,Female,0,Europe
Sri Lanka,3,Primary,Female,0,Asia
Palestinian National Authority,3,Primary,Female,0,Asia
Sudan,35,Primary,Female,0,Africa
Suriname,11,Primary,Female,0,Americas
Sweden,0,Primary,Female,0,Europe
Switzerland,0,Primary,Female,0,Europe
Syria,28,Primary,Female,0,Asia
Tajikistan,2,Primary,Female,0,Asia
Thailand,0,Primary,Female,0,Asia
East Timor,3,Primary,Female,0,Asia
Togo,4,Primary,Female,0,Africa
Tokelau,0,Primary,Female,0,Oceania
Tonga,0,Primary,Female,0,Oceania
Trinidad and Tobago,0,Primary,Female,0,Americas
Tunisia,0,Primary,Female,0,Africa
Turkey,5,Primary,Female,0,Asia
Turkmenistan,0,Primary,Female,0,Asia
Turks and Caicos Islands,0,Primary,Female,0,Americas
Tuvalu,17,Primary,Female,0,Oceania
Uganda,3,Primary,Female,0,Africa
Ukraine,7,Primary,Female,0,Europe
United Arab Emirates,5,Primary,Female,0,Asia
United Kingdom,1,Primary,Female,0,Europe
Tanzania,12,Primary,Female,0,Africa
United States,1,Primary,Female,0,Americas
Uruguay,3,Primary,Female,0,Americas
Uzbekistan,2,Primary,Female,0,Asia
Vanuatu,7,Primary,Female,0,Oceania
Venezuela,10,Primary,Female,0,Americas
Vietnam,0,Primary,Female,0,Asia
Yemen,21,Primary,Female,0,Asia
Zambia,13,Primary,Female,0,Africa
Zimbabwe,0,Primary,Female,0,Africa
