Countries and areas,OOSR,Age_group,Gender,High_OOSR,Region
Tonga,6,Lower_Secondary,Male,0,Oceania
Trinidad and Tobago,0,Lower_Secondary,Male,0,Americas
Tunisia,0,Lower_Secondary,Male,0,Africa
Turkey,6,Lower_Secondary,Male,0,Asia
Turkmenistan,0,Lower_Secondary,Male,0,Asia
Turks and Caicos Islands,22,Lower_Secondary,Male,0,Americas
Tuvalu,27,Lower_Secondary,Male,0,Oceania
Uganda,0,Lower_Secondary,Male,0,Africa
Ukraine,4,Lower_Secondary,Male,0,Europe
United Arab Emirates,2,Lower_Secondary,Male,0,Asia
United Kingdom,2,Lower_Secondary,Male,0,Europe
Tanzania,0,Lower_Secondary,Male,0,Africa
United States,3,Lower_Secondary,Male,0,Americas
Uruguay,1,Lower_Secondary,Male,0,Americas
Uzbekistan,0,Lower_Secondary,Male,0,Asia
Vanuatu,2,Lower_Secondary,Male,0,Oceania
Venezuela,15,Lower_Secondary,Male,0,Americas
Vietnam,0,Lower_Secondary,Male,0,Asia
Yemen,23,Lower_Secondary,Male,0,Asia
Zambia,0,Lower_Secondary,Male,0,Africa
Zimbabwe,0,Lower_Secondary,Male,0,Africa
